200.16 199.16 198.16 197.16 201.16 204.05 202.94 204.83 207.83 207.16 205.16 202.16 199.56 199.37 201.07 203.85 206.09 208.39 210.98 211.68 210.98 208.98 209.01 208.96 205.07 202.07 201.37 202.37 201.07 200.96 203.77 204.96
199.16 198.16 200.16 202.16 205.05 210.05 213.83 215.83 214.94 210.05 203.16 200.75 201.34 202.52 204.63 209.82 212.09 210.87 209.98 210.99 212.29 214.29 215.1 213.24 210.83 207.94 206.94 207.53 208.83 208.83 211.94 212.83
201.16 202.16 204.05 207.94 209.94 211.83 213.61 213.61 211.61 208.94 207.05 207.05 208.12 208.01 209.23 210.34 209.83 207.83 208.83 211.32 212.62 213.44 215.33 215.4 214.59 210.6 206.8 211.16 216.57 217.91 218.12 213.74
205.16 207.05 206.94 210.83 211.83 212.61 214.98 214.98 214.98 215.31 216.72 219.61 218.98 215.98 213.53 213.05 212.83 213.72 215.72 218.02 218.91 219.13 219.29 211.45 195.21 174.96 156.24 169.27 213.81 221.07 217.11 210.54
207.16 208.16 207.94 210.83 212.83 217.2 219.98 220.87 219.87 220.87 222.76 224.65 224.13 221.54 218.09 217.31 220.28 220.87 221.57 221.27 219.77 214.76 194.61 162.57 133.44 112.94 96.27 112.54 189.21 216.01 215.56 210.39
209.16 211.75 214.42 219.09 221.98 222.98 222.98 220.09 218.68 219.94 221.73 222.62 223.28 223.8 225.25 225.14 221.92 218.81 218.63 217.81 199.19 147.16 102.77 99.03 94.53 91.07 83.95 76.54 119.42 173.67 212.62 213.95
214.53 216.42 217.79 220.87 220.76 219.46 220.98 221.98 223.16 224.24 227.53 229.49 228.66 228.41 221.17 198.66 179.36 163.91 147.86 137.46 119.66 91.79 70.17 83.26 94.12 83.16 46.41 26.96 57.99 134.08 208.03 221.58
225.18 221.1 215.62 217.21 218.62 223.55 229.18 232.96 234.85 235.64 233.39 230.71 228.31 215.64 157.92 92.65 91.84 85.78 59.98 36.49 34.51 44.41 68.28 91.04 86.37 55.28 46.89 64.28 67.73 142.11 211.33 201.58
228.16 226.27 225.86 228.16 230.64 233.79 236.05 236.05 233.75 229.66 225.87 220.72 196.88 160.15 127.78 108.16 93.14 40.34 16.98 12.8 23.22 35.83 75.28 89.75 69.36 49.27 80.08 106.07 87.6 125.74 166.35 150.85
228.95 232.03 234.89 236.18 236.46 234.86 233.01 229.23 225.33 221.92 215.67 189.46 147.84 116.47 103.05 103.58 103.26 67.46 42.07 45.76 72.4 83.13 83.09 90.15 77.51 56.84 90 149.63 127.13 103.33 136.64 145.78
